Date,Open,High,Low,Close
10/25/2024,"42,477.51","42,594.64","42,051.39","42,114.40"
10/24/2024,"42,522.55","42,522.55","42,191.83","42,374.36"
10/23/2024,"42,834.40","42,834.40","42,293.17","42,514.95"
10/22/2024,"42,876.84","43,041.05","42,718.26","42,924.89"
10/21/2024,"43,222.21","43,310.87","42,877.57","42,931.60"
10/18/2024,"43,187.12","43,325.09","43,036.35","43,275.91"
10/17/2024,"43,119.81","43,289.76","43,119.81","43,239.05"
10/16/2024,"42,706.49","43,100.84","42,692.37","43,077.70"
10/15/2024,"43,240.17","43,277.78","42,703.17","42,740.42"
10/14/2024,"42,800.89","43,139.00","42,707.14","43,065.22"
10/11/2024,"42,507.53","42,899.75","42,507.53","42,863.86"
10/10/2024,"42,511.37","42,511.37","42,308.04","42,454.12"
10/09/2024,"42,070.32","42,562.01","41,993.35","42,512.00"
10/08/2024,"42,022.65","42,128.56","41,874.72","42,080.37"
10/07/2024,"42,289.51","42,293.64","41,831.74","41,954.24"
10/04/2024,"42,248.26","42,361.38","41,972.11","42,352.75"
10/03/2024,"42,099.53","42,125.84","41,847.81","42,011.59"
10/02/2024,"42,125.14","42,259.52","41,968.79","42,196.52"
10/01/2024,"42,262.97","42,322.36","41,945.63","42,156.97"
09/30/2024,"42,289.75","42,347.66","41,929.07","42,330.15"
09/27/2024,"42,227.95","42,628.32","42,227.95","42,313.00"
09/26/2024,"42,113.42","42,224.15","42,036.28","42,175.11"
09/25/2024,"42,236.09","42,299.64","41,859.73","41,914.75"
09/24/2024,"42,234.99","42,281.06","42,056.82","42,208.22"
09/23/2024,"42,060.40","42,190.05","42,012.22","42,124.65"
09/20/2024,"41,959.43","42,138.41","41,865.95","42,063.36"
09/19/2024,"41,972.56","42,160.91","41,832.09","42,025.19"
09/18/2024,"41,628.91","41,981.97","41,449.00","41,503.10"
09/17/2024,"41,723.78","41,835.28","41,470.69","41,606.18"
09/16/2024,"41,435.17","41,733.97","41,435.17","41,622.08"
09/13/2024,"41,153.70","41,533.84","41,128.70","41,393.78"
09/12/2024,"40,862.11","41,107.35","40,665.53","41,096.77"
09/11/2024,"40,638.76","40,903.68","39,993.07","40,861.71"
